"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","1uF","~","","1",""
"C2","10uF","~","","1",""
"C3,C7,C9","100nF","~","","3",""
"C4","33pF","~","","1",""
"C5","22uF","~","","1",""
"C6,C8","10n","~","","2",""
"D1","D","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_DIODEs","","1",""
"IC1","INA3221AIRGVR","http://www.ti.com/lit/ds/symlink/ina3221.pdf","QFN65P400X400X100-17N-D","1",""
"IC2","TPS566247DRLR","https://www.ti.com/lit/ds/symlink/tps566247.pdf?ts=1660699623182&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS566247","SOTFL50P160X60-6N","1",""
"J1","USB_C_Receptacle_USB2.0_14P","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","1",""
"J2","Microcontroller","~","","1",""
"J3","Vout_Connector","~","","1",""
"L1","2.2uH","~","","1",""
"Q1,Q3","BC846","https://assets.nexperia.com/documents/data-sheet/BC846_SER.pdf","Package_TO_SOT_SMD:SOT-23","2",""
"Q2","ZXMP4A16G","https://www.diodes.com/assets/Datasheets/ZXMP4A16G.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"R1","10k","~","","1",""
"R2","1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R3","24k","~","","1",""
"R4,R5","0.1 0.5%","~","Resistor_SMD:R_2512_6332Metric","2",""
"R6","100k","~","","1",""
"R7","21.5k","~","","1",""
"R8","220k","~","","1",""
"R9","30k","~","","1",""
"R10,R12","100","~","","2",""
"R11,R13,R14","100K","~","","3",""
"R15,R16,R17,R18,R19,R20,R21","10K","~","","7",""
"SW1","SW_Push","~","Connector_PinHeader_1.27mm:PinHeader_1x02_P1.27mm_Vertical","1",""
"U1","CH224K","http://www.wch-ic.com/downloads/CH224DS1_PDF.html","tyk_common:ESSOP-10","1",""
