Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,1uF,C1848
C2,1206,1,10uF,C1849
"C3, C7, C9",1206,3,100nF, C1945
C4,1206,1,33pF,C1906
C5,1206,1,22uF, C12891
C6,0805,1,10n, C1710
D1,SOT-23,1,BAT54C,C916424
IC1,QFN-16_L4.0-W4.0-P0.65-TL-EP2.2,1,INA3221AIRGVR,C181255
IC2,SOT-563,1,TPS566247DRLR,C5219274
J1,PinHeader_1x03_P1.00mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x07_P1.00mm_Vertical,1,Conn_01x07_Pin,
J3,CONN-TH_P5.00_KF301-5.0-2P,1,Vout_Connector,C474881
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2965608
L1,IND-SMD_L7.2-W6.6_GPSR07X0,1,2.2uH,C5189746
Q1,SOT-23,1,BSS123,C7420338
Q2,SOT-223-3_TabPin2,1,ZXMP4A16G, C141324
"R1, R15, R17, R18, R19, R20, R21",1206,7,10k,C326700
R10,1206,1,330,C3013376
R11,1210,1,1M,C470029
"R13, R6",1206,2,100K,C606185
R2,1206,1,1k,C2759097
R3,1206,1,24k,C2759176
"R4, R5",2512,2,0.1 1%,C7419997
R7,1206,1,21.5k,C311938
R8,1210,1,220k,C606197
R9,1206,1,30k,C3013378
U1,ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP,1,CH224K,C970725
